host_id,reviews_per_month,high_number_of_reviews
2259,0.01,0
2438,0.04,0
2571,0.36,1
2782,0.55,1
2787,2.79,1
2845,0.43,1
2868,0.05,0
2881,8.56,1
3415,0.09,0
3563,0.02,0
3647,1.3900000000000001,1
3867,0.0,0
4396,1.25,1
4869,4.68,1
5089,0.61,1
6041,0.24,0
6485,0.28,0
6809,0.0,0
7209,2.22,1
7310,0.45,1
7322,0.58,1
7356,0.38,1
7490,0.92,1
7500,0.16,0
7549,5.34,1
7989,1.58,1
8198,0.51,1
8380,0.51,1
8425,0.04,0
8440,0.59,1
8605,0.13,0
8703,0.12,0
8967,3.55,1
9744,4.1899999999999995,1
10135,3.26,1
10889,3.53,1
11175,0.13,0
11481,3.7299999999999995,1
11528,0.93,1
11975,0.21,0
12220,2.16,1
14063,0.26,0
14356,0.17,0
14370,0.03,0
14403,0.0,0
15154,0.08,0
15192,1.4,1
15523,0.8400000000000001,1
15574,1.12,1
15742,0.43,1
15784,0.04,0
15977,1.53,1
15991,1.37,1
16104,0.07,0
16800,1.83,1
16866,2.63,1
17098,0.54,1
17571,2.44,1
17930,4.4,1
17985,0.07,0
18174,3.46,1
18282,0.06,0
18283,0.0,0
18742,0.0,0
19402,0.69,1
19562,0.05,0
20549,1.48,1
20805,0.12,0
20830,0.17,0
20950,4.11,1
21188,0.58,1
21207,0.07,0
21248,0.04,0
21306,0.13,0
21823,4.54,1
21904,0.26,0
22188,0.62,1
22323,0.13,0
22462,3.07,1
22486,2.26,1
23193,0.5700000000000001,1
23276,0.03,0
23619,0.82,1
23684,0.18,0
24069,0.39,1
24222,0.26,0
24347,0.27,0
24668,1.13,1
24771,0.0,0
25100,0.14,0
25137,0.54,1
25183,1.77,1
25459,2.19,1
25632,0.01,0
25810,0.14,0
26394,0.0,0
26640,0.89,1
27245,0.59,1
27848,2.13,1
28250,0.98,1
28336,2.99,1
28422,0.0,0
28573,5.29,1
29096,3.48,1
29213,0.02,0
30078,0.31,0
30529,5.890000000000001,1
31378,2.85,1
31994,1.01,1
32045,1.38,1
32212,1.06,1
32228,0.37,1
32294,4.35,1
32613,0.04,0
32704,1.66,1
32800,0.07,0
33009,0.1,0
33510,0.19,0
33655,1.0,1
33816,0.3,0
34915,0.0,0
35271,3.25,1
35375,1.16,1
35935,1.1600000000000001,1
35944,0.0,0
36119,0.06,0
36841,2.4,1
36897,1.09,1
37413,0.19,0
37879,0.55,1
38101,0.0,0
38513,1.21,1
39260,1.05,1
39304,0.0,0
40100,4.57,1
40275,1.0,1
41358,0.02,0
41525,0.27,0
41612,0.0,0
42032,0.67,1
42273,4.0,1
42749,0.0,0
43321,0.31,0
43671,0.16,0
43772,0.05,0
44145,3.1799999999999997,1
45009,4.25,1
45384,0.4,1
45445,0.0,0
45609,0.37,1
45682,1.06,1
46719,0.32,0
46969,4.05,1
46978,3.96,1
47459,0.31,0
47532,0.0,0
47727,0.86,1
48165,2.63,1
48581,0.0,0
48599,0.88,1
49670,0.41,1
49966,0.14,0
49987,0.03,0
50124,2.34,1
50148,0.52,1
50846,0.1,0
50912,1.31,1
50986,0.15,0
51038,5.43,1
51414,0.18,0
52043,0.54,1
52335,1.14,1
52394,0.18,0
52615,0.28,0
53621,4.1,1
54241,0.0,0
54255,5.1899999999999995,1
54275,2.4,1
54712,0.0,0
54739,0.29,0
55121,0.27,0
55164,0.0,0
55176,4.0,1
55289,2.9,1
55421,0.04,0
56104,0.75,1
56246,3.15,1
56284,0.21,0
56326,0.02,0
56350,0.33,0
56512,0.9,1
